state_o,state_d,pop_flows
01,02,315.8
01,04,3393.4
01,05,5226.6
01,06,7502.2
01,08,4031.0
01,09,470.6
01,10,295.2
01,11,1243.2
01,12,102078.8
01,13,190916.4
01,15,1462.0
01,16,1108.0
01,17,7520.6
01,18,5299.2
01,19,4370.8
01,20,2872.2
01,21,10523.2
01,22,26582.0
01,23,230.6
01,24,2031.8
01,25,1260.4
01,26,4405.4
01,27,2214.2
01,28,73552.2
01,29,5905.6
01,30,570.0
01,31,977.8
01,32,2560.4
01,33,171.0
01,34,1646.2
01,35,1678.0
01,36,5576.4
01,37,11319.4
01,38,537.4
01,39,5827.4
01,40,2576.4
01,41,901.8
01,42,3961.0
01,44,142.8
01,45,10153.2
01,46,442.8
01,47,72917.4
01,48,29609.4
01,49,1888.6
01,50,92.8
01,51,8111.4
01,53,1530.0
01,54,936.2
01,55,2970.6
01,56,652.6
01,72,484.0
02,01,897.2
02,04,4638.8
02,05,650.4
02,06,7649.8
02,08,1939.6
02,09,39.75
02,10,102.0
02,11,429.8
02,12,4396.4
02,13,1105.2
02,15,7067.4
02,16,1409.4
02,17,1027.6
02,18,353.0
02,19,268.4
02,20,567.4
02,21,225.2
02,22,1101.0
02,23,46.0
02,24,401.6
02,25,363.0
02,26,473.4
02,27,1102.6
02,28,167.4
02,29,656.2
02,30,1026.4
02,31,151.2
02,32,2940.8
02,33,29.5
02,34,282.6
02,35,471.0
02,36,502.4
02,37,791.8
02,38,250.0
02,39,828.6
02,40,729.4
02,41,3945.6
02,42,478.6
02,44,68.0
02,45,270.8
02,46,166.6
02,47,471.8
02,48,5477.4
02,49,1019.4
02,50,79.2
02,51,1282.2
02,53,21992.0
02,54,95.0
02,55,711.2
02,56,463.8
02,72,273.0
04,01,3852.8
04,02,1425.4
04,05,3274.6
04,06,187288.8
04,08,21817.8
04,09,1207.4
04,10,478.8
04,11,2132.0
04,12,24273.6
04,13,7334.8
04,15,8243.8
04,16,13066.2
04,17,16237.4
04,18,6222.8
04,19,10103.8
04,20,8124.8
04,21,2901.8
04,22,6390.4
04,23,445.6
04,24,2916.8
04,25,2194.2
04,26,7384.0
04,27,12037.8
04,28,3386.4
04,29,9371.4
04,30,3320.0
04,31,5955.2
04,32,60150.0
04,33,387.8
04,34,3720.0
04,35,40637.6
04,36,9647.4
04,37,6311.2
04,38,4223.0
04,39,7025.0
04,40,7648.0
04,41,17048.4
04,42,5800.4
04,44,256.0
04,45,2876.8
04,46,2846.8
04,47,5968.2
04,48,53075.8
04,49,24649.8
04,50,329.4
04,51,5873.4
04,53,18761.6
04,54,518.2
04,55,7409.4
04,56,3064.8
04,72,1059.0
05,01,6232.8
05,02,173.4
05,04,3693.2
05,06,7488.4
05,08,4232.2
05,09,222.2
05,10,163.4
05,11,569.4
05,12,11592.6
05,13,7682.8
05,15,763.6
05,16,608.4
05,17,9922.2
05,18,4819.4
05,19,2482.8
05,20,6007.4
05,21,3547.4
05,22,26269.0
05,23,181.4
05,24,825.6
05,25,597.6
05,26,2185.8
05,27,1627.6
05,28,22053.4
05,29,51206.8
05,30,488.8
05,31,1415.0
05,32,2210.0
05,33,216.8
05,34,904.4
05,35,1723.2
05,36,2438.8
05,37,2876.6
05,38,447.6
05,39,3399.2
05,40,48253.8
05,41,886.4
05,42,2326.2
05,44,30.6
05,45,2345.8
05,46,583.8
05,47,51119.2
05,48,119294.6
05,49,1353.2
05,50,172.2
05,51,2487.2
05,53,1656.6
05,54,725.0
05,55,1599.0
05,56,454.0
05,72,231.4
06,01,13551.8
06,02,4376.6
06,04,235736.8
06,05,14841.0
06,08,54315.4
06,09,6420.8
06,10,1420.0
06,11,11516.8
06,12,101248.6
06,13,41881.8
06,15,88666.6
06,16,22661.0
06,17,48188.8
06,18,17872.8
06,19,10161.2
06,20,20038.0
06,21,9054.2
06,22,21862.8
06,23,1767.4
06,24,13410.8
06,25,17860.8
06,26,19668.2
06,27,15971.0
06,28,8495.2
06,29,31369.0
06,30,8392.8
06,31,7340.0
06,32,281318.2
06,33,1897.6
06,34,22104.4
06,35,32339.4
06,36,72418.6
06,37,30819.6
06,38,2067.8
06,39,23539.4
06,40,23781.0
06,41,83923.6
06,42,24014.8
06,44,2027.6
06,45,12137.4
06,46,2403.8
06,47,31608.6
06,48,186401.8
06,49,63021.0
06,50,718.6
06,51,27133.8
06,53,83901.6
